,0,1,2,3,4
560,2.4,3.25,3.15,3.2,3.45
561,1.95,2.45,3.4,3.9,4.25
562,3.6,3.35,3.05,3.05,3.45
563,1.8,4.0,3.8,3.75,3.9
564,1.8,1.65,2.8,2.5,4.05
565,1.45,3.9,3.7,3.8,2.45
566,3.0,3.1,3.0,3.1,3.1
567,2.0,3.6,2.85,3.2,2.9
568,3.0,3.65,4.2,4.2,3.5
569,2.4,3.35,3.7,3.45,3.75
570,2.0,4.1,4.3,3.95,4.45
571,1.8,2.7,3.2,3.1,2.85
572,3.0,3.0,3.0,2.9,2.8
573,2.2,3.0,3.0,3.0,3.05
574,2.0,4.3,4.5,4.3,4.3
575,2.0,3.7,4.35,3.4,4.55
576,1.95,3.0,2.75,1.85,2.9
577,3.1,3.15,3.2,2.95,3.15
578,3.0,3.0,3.0,3.0,3.0
579,1.9,4.0,3.85,3.9,4.2
580,2.4,3.6,3.95,3.55,3.85
581,3.05,4.1,3.7,4.05,4.05
582,3.0,2.95,3.05,3.45,3.6
583,2.6,2.8,3.0,2.9,3.55
584,2.4,2.4,3.15,2.6,3.55
585,2.4,2.9,3.55,3.7,3.5
586,3.55,3.55,3.25,2.9,3.4
587,2.4,3.65,3.75,2.7,3.2
588,1.8,4.1,4.15,4.2,4.2
589,1.45,4.1,4.15,4.0,4.6
590,2.5,3.4,3.55,3.1,3.95
591,3.0,2.8,3.3,3.0,3.2
592,2.4,3.15,3.3,2.15,4.05
593,3.0,3.0,3.0,3.0,3.0
594,2.9,2.95,3.55,3.1,3.3
595,2.35,3.9,4.0,4.1,3.5
596,2.4,3.45,3.85,3.65,3.9
597,2.95,3.55,3.45,2.9,3.25
598,2.05,3.5,3.55,2.45,3.6
599,2.65,3.3,3.25,3.15,3.3
600,2.4,3.8,3.65,3.55,4.1
601,2.0,3.15,3.8,2.85,3.95
602,1.6,3.0,2.75,2.95,2.6
603,2.35,3.5,4.1,4.0,4.3
604,2.1,3.45,3.4,3.3,3.25
605,4.35,3.65,3.95,4.1,4.05
606,3.0,3.15,4.2,2.95,4.25
607,1.95,3.05,3.35,2.95,3.95
608,2.75,2.8,2.8,2.8,2.8
609,2.4,2.9,3.1,3.1,3.45
610,3.25,2.8,3.05,2.95,2.95
611,2.35,3.5,3.75,3.3,3.8
612,1.6,3.5,3.4,3.4,3.2
613,1.9,2.8,3.9,2.45,2.5
614,3.0,3.0,3.2,3.05,3.1
615,2.2,4.0,4.6,4.0,4.6
616,2.4,3.35,3.3,3.5,3.35
617,3.05,3.75,3.4,3.55,3.9
618,2.1,3.35,3.9,3.75,4.1
619,3.05,3.55,3.55,3.6,3.5
620,3.0,2.6,2.4,2.55,2.5
621,3.0,3.0,3.0,2.95,3.0
622,2.6,3.95,4.25,4.2,4.0
623,1.45,4.4,4.45,2.6,4.4
624,1.9,2.95,3.7,2.9,3.5
625,2.4,3.05,2.95,2.95,3.3
626,3.0,3.0,3.0,3.0,3.0
627,1.7,4.6,4.6,3.55,3.9
628,2.75,3.25,3.0,3.0,2.95
629,2.4,3.15,3.1,2.7,3.85
630,1.6,3.55,3.65,3.5,3.55
631,3.0,4.3,4.3,4.2,4.6
